region,category,parameter,mode,powertrain,year,unit,value
Brazil,Historical,EV sales,Cars,BEV,2019,Vehicles,540
Brazil,Historical,EV sales,Cars,PHEV,2019,Vehicles,1400
Brazil,Historical,EV sales,Cars,PHEV,2020,Vehicles,1800
Brazil,Historical,EV sales,Cars,BEV,2020,Vehicles,680
Brazil,Historical,EV sales,Cars,BEV,2021,Vehicles,2900
Brazil,Historical,EV sales,Cars,PHEV,2021,Vehicles,11000
Brazil,Historical,EV sales,Cars,PHEV,2022,Vehicles,10000
Brazil,Historical,EV sales,Cars,BEV,2022,Vehicles,8500
Canada,Historical,EV sales,Cars,BEV,2011,Vehicles,220
Canada,Historical,EV sales,Cars,PHEV,2011,Vehicles,300
Canada,Historical,EV sales,Cars,PHEV,2012,Vehicles,1300
Canada,Historical,EV sales,Cars,BEV,2012,Vehicles,620
Canada,Historical,EV sales,Cars,BEV,2013,Vehicles,1600
Canada,Historical,EV sales,Cars,PHEV,2013,Vehicles,1500
Canada,Historical,EV sales,Cars,PHEV,2014,Vehicles,2300
Canada,Historical,EV sales,Cars,BEV,2014,Vehicles,2800
Canada,Historical,EV sales,Cars,BEV,2015,Vehicles,4400
Canada,Historical,EV sales,Cars,PHEV,2015,Vehicles,2400
Canada,Historical,EV sales,Cars,PHEV,2016,Vehicles,6400
Canada,Historical,EV sales,Cars,BEV,2016,Vehicles,5200
Canada,Historical,EV sales,Cars,BEV,2017,Vehicles,8700
Canada,Historical,EV sales,Cars,PHEV,2017,Vehicles,8000
Canada,Historical,EV sales,Cars,PHEV,2018,Vehicles,21000
Canada,Historical,EV sales,Cars,BEV,2018,Vehicles,23000
Canada,Historical,EV sales,Cars,BEV,2019,Vehicles,32000
Canada,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000
Canada,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000
Canada,Historical,EV sales,Cars,BEV,2020,Vehicles,37000
Canada,Historical,EV sales,Cars,BEV,2021,Vehicles,59000
Canada,Historical,EV sales,Cars,PHEV,2021,Vehicles,28000
Canada,Historical,EV sales,Cars,PHEV,2022,Vehicles,29000
Canada,Historical,EV sales,Cars,BEV,2022,Vehicles,85000
Chile,Historical,EV sales,Cars,BEV,2011,Vehicles,6
Chile,Historical,EV sales,Cars,BEV,2012,Vehicles,5
Chile,Historical,EV sales,Cars,BEV,2013,Vehicles,5
Chile,Historical,EV sales,Cars,BEV,2014,Vehicles,3
Chile,Historical,EV sales,Cars,PHEV,2014,Vehicles,14
Chile,Historical,EV sales,Cars,PHEV,2015,Vehicles,23
Chile,Historical,EV sales,Cars,BEV,2015,Vehicles,13
Chile,Historical,EV sales,Cars,BEV,2016,Vehicles,22
Chile,Historical,EV sales,Cars,PHEV,2016,Vehicles,9
Chile,Historical,EV sales,Cars,PHEV,2017,Vehicles,15
Chile,Historical,EV sales,Cars,BEV,2017,Vehicles,120
Chile,Historical,EV sales,Cars,BEV,2018,Vehicles,110
Chile,Historical,EV sales,Cars,PHEV,2018,Vehicles,68
Chile,Historical,EV sales,Cars,PHEV,2019,Vehicles,140
Chile,Historical,EV sales,Cars,BEV,2019,Vehicles,160
Chile,Historical,EV sales,Cars,BEV,2020,Vehicles,110
Chile,Historical,EV sales,Cars,PHEV,2020,Vehicles,79
Chile,Historical,EV sales,Cars,PHEV,2021,Vehicles,300
Chile,Historical,EV sales,Cars,BEV,2021,Vehicles,270
Chile,Historical,EV sales,Cars,BEV,2022,Vehicles,880
Chile,Historical,EV sales,Cars,PHEV,2022,Vehicles,620
China,Historical,EV sales,Cars,PHEV,2010,Vehicles,340
China,Historical,EV sales,Cars,BEV,2010,Vehicles,1100
China,Historical,EV sales,Cars,BEV,2011,Vehicles,4800
China,Historical,EV sales,Cars,PHEV,2011,Vehicles,320
China,Historical,EV sales,Cars,PHEV,2012,Vehicles,260
China,Historical,EV sales,Cars,BEV,2012,Vehicles,9600
China,Historical,EV sales,Cars,BEV,2013,Vehicles,15000
China,Historical,EV sales,Cars,PHEV,2013,Vehicles,730
China,Historical,EV sales,Cars,PHEV,2014,Vehicles,24000
China,Historical,EV sales,Cars,BEV,2014,Vehicles,49000
China,Historical,EV sales,Cars,BEV,2015,Vehicles,150000
China,Historical,EV sales,Cars,PHEV,2015,Vehicles,61000
China,Historical,EV sales,Cars,PHEV,2016,Vehicles,79000
China,Historical,EV sales,Cars,BEV,2016,Vehicles,260000
China,Historical,EV sales,Cars,BEV,2017,Vehicles,470000
China,Historical,EV sales,Cars,PHEV,2017,Vehicles,110000
China,Historical,EV sales,Cars,PHEV,2018,Vehicles,270000
China,Historical,EV sales,Cars,BEV,2018,Vehicles,820000
China,Historical,EV sales,Cars,BEV,2019,Vehicles,830000
China,Historical,EV sales,Cars,PHEV,2019,Vehicles,230000
China,Historical,EV sales,Cars,PHEV,2020,Vehicles,220000
China,Historical,EV sales,Cars,BEV,2020,Vehicles,920000
China,Historical,EV sales,Cars,PHEV,2021,Vehicles,550000
China,Historical,EV sales,Cars,BEV,2021,Vehicles,2700000
China,Historical,EV sales,Cars,BEV,2022,Vehicles,4400000
China,Historical,EV sales,Cars,PHEV,2022,Vehicles,1500000
Denmark,Historical,EV sales,Cars,BEV,2011,Vehicles,420
Denmark,Historical,EV sales,Cars,PHEV,2011,Vehicles,2
Denmark,Historical,EV sales,Cars,PHEV,2012,Vehicles,12
Denmark,Historical,EV sales,Cars,BEV,2012,Vehicles,490
Denmark,Historical,EV sales,Cars,BEV,2013,Vehicles,500
Denmark,Historical,EV sales,Cars,PHEV,2013,Vehicles,10
Denmark,Historical,EV sales,Cars,PHEV,2014,Vehicles,90
Denmark,Historical,EV sales,Cars,BEV,2014,Vehicles,1600
Denmark,Historical,EV sales,Cars,BEV,2015,Vehicles,4300
Denmark,Historical,EV sales,Cars,PHEV,2015,Vehicles,420
Denmark,Historical,EV sales,Cars,PHEV,2016,Vehicles,570
Denmark,Historical,EV sales,Cars,BEV,2016,Vehicles,1300
Denmark,Historical,EV sales,Cars,BEV,2017,Vehicles,710
Denmark,Historical,EV sales,Cars,PHEV,2017,Vehicles,620
Denmark,Historical,EV sales,Cars,PHEV,2018,Vehicles,3100
Denmark,Historical,EV sales,Cars,BEV,2018,Vehicles,1500
Denmark,Historical,EV sales,Cars,BEV,2019,Vehicles,5500
Denmark,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900
Denmark,Historical,EV sales,Cars,PHEV,2020,Vehicles,18000
Denmark,Historical,EV sales,Cars,BEV,2020,Vehicles,14000
Denmark,Historical,EV sales,Cars,BEV,2021,Vehicles,25000
Denmark,Historical,EV sales,Cars,PHEV,2021,Vehicles,40000
Denmark,Historical,EV sales,Cars,PHEV,2022,Vehicles,26000
Denmark,Historical,EV sales,Cars,BEV,2022,Vehicles,31000
EU27,Historical,EV sales,Cars,BEV,2010,Vehicles,1400
EU27,Historical,EV sales,Cars,PHEV,2010,Vehicles,9
EU27,Historical,EV sales,Cars,PHEV,2011,Vehicles,380
EU27,Historical,EV sales,Cars,BEV,2011,Vehicles,6700
EU27,Historical,EV sales,Cars,BEV,2012,Vehicles,12000
EU27,Historical,EV sales,Cars,PHEV,2012,Vehicles,7300
EU27,Historical,EV sales,Cars,PHEV,2013,Vehicles,24000
EU27,Historical,EV sales,Cars,BEV,2013,Vehicles,21000
EU27,Historical,EV sales,Cars,BEV,2014,Vehicles,32000
EU27,Historical,EV sales,Cars,PHEV,2014,Vehicles,24000
EU27,Historical,EV sales,Cars,PHEV,2015,Vehicles,70000
EU27,Historical,EV sales,Cars,BEV,2015,Vehicles,49000
EU27,Historical,EV sales,Cars,BEV,2016,Vehicles,53000
EU27,Historical,EV sales,Cars,PHEV,2016,Vehicles,65000
EU27,Historical,EV sales,Cars,PHEV,2017,Vehicles,86000
EU27,Historical,EV sales,Cars,BEV,2017,Vehicles,84000
EU27,Historical,EV sales,Cars,BEV,2018,Vehicles,130000
EU27,Historical,EV sales,Cars,PHEV,2018,Vehicles,110000
EU27,Historical,EV sales,Cars,PHEV,2019,Vehicles,140000
EU27,Historical,EV sales,Cars,BEV,2019,Vehicles,250000
EU27,Historical,EV sales,Cars,BEV,2020,Vehicles,540000
EU27,Historical,EV sales,Cars,PHEV,2020,Vehicles,510000
EU27,Historical,EV sales,Cars,PHEV,2021,Vehicles,870000
EU27,Historical,EV sales,Cars,BEV,2021,Vehicles,880000
EU27,Historical,EV sales,Cars,BEV,2022,Vehicles,1100000
EU27,Historical,EV sales,Cars,PHEV,2022,Vehicles,880000
Europe,Historical,EV sales,Cars,BEV,2010,Vehicles,2000
Europe,Historical,EV sales,Cars,PHEV,2010,Vehicles,30
Europe,Historical,EV sales,Cars,PHEV,2011,Vehicles,430
Europe,Historical,EV sales,Cars,BEV,2011,Vehicles,10000
Europe,Historical,EV sales,Cars,BEV,2012,Vehicles,18000
Europe,Historical,EV sales,Cars,PHEV,2012,Vehicles,9000
Europe,Historical,EV sales,Cars,PHEV,2013,Vehicles,26000
Europe,Historical,EV sales,Cars,BEV,2013,Vehicles,33000
Europe,Historical,EV sales,Cars,BEV,2014,Vehicles,62000
Europe,Historical,EV sales,Cars,PHEV,2014,Vehicles,34000
Europe,Historical,EV sales,Cars,PHEV,2015,Vehicles,100000
Europe,Historical,EV sales,Cars,BEV,2015,Vehicles,88000
Europe,Historical,EV sales,Cars,BEV,2016,Vehicles,92000
Europe,Historical,EV sales,Cars,PHEV,2016,Vehicles,120000
Europe,Historical,EV sales,Cars,PHEV,2017,Vehicles,160000
Europe,Historical,EV sales,Cars,BEV,2017,Vehicles,140000
Europe,Historical,EV sales,Cars,BEV,2018,Vehicles,200000
Europe,Historical,EV sales,Cars,PHEV,2018,Vehicles,190000
Europe,Historical,EV sales,Cars,PHEV,2019,Vehicles,210000
Europe,Historical,EV sales,Cars,BEV,2019,Vehicles,360000
Europe,Historical,EV sales,Cars,BEV,2020,Vehicles,750000
Europe,Historical,EV sales,Cars,PHEV,2020,Vehicles,630000
Europe,Historical,EV sales,Cars,PHEV,2021,Vehicles,1100000
Europe,Historical,EV sales,Cars,BEV,2021,Vehicles,1200000
Europe,Historical,EV sales,Cars,BEV,2022,Vehicles,1600000
Europe,Historical,EV sales,Cars,PHEV,2022,Vehicles,1000000
Finland,Historical,EV sales,Cars,BEV,2011,Vehicles,30
Finland,Historical,EV sales,Cars,BEV,2012,Vehicles,51
Finland,Historical,EV sales,Cars,PHEV,2012,Vehicles,130
Finland,Historical,EV sales,Cars,PHEV,2013,Vehicles,170
Finland,Historical,EV sales,Cars,BEV,2013,Vehicles,50
Finland,Historical,EV sales,Cars,BEV,2014,Vehicles,180
Finland,Historical,EV sales,Cars,PHEV,2014,Vehicles,260
Finland,Historical,EV sales,Cars,PHEV,2015,Vehicles,420
Finland,Historical,EV sales,Cars,BEV,2015,Vehicles,240
Finland,Historical,EV sales,Cars,BEV,2016,Vehicles,220
Finland,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200
Finland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2600
Finland,Historical,EV sales,Cars,BEV,2017,Vehicles,500
Finland,Historical,EV sales,Cars,BEV,2018,Vehicles,780
Finland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4900
Finland,Historical,EV sales,Cars,PHEV,2019,Vehicles,6000
Finland,Historical,EV sales,Cars,BEV,2019,Vehicles,1900
Finland,Historical,EV sales,Cars,BEV,2020,Vehicles,4200
Finland,Historical,EV sales,Cars,PHEV,2020,Vehicles,13000
Finland,Historical,EV sales,Cars,PHEV,2021,Vehicles,20000
Finland,Historical,EV sales,Cars,BEV,2021,Vehicles,10000
Finland,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000
Finland,Historical,EV sales,Cars,BEV,2022,Vehicles,15000
France,Historical,EV sales,Cars,BEV,2010,Vehicles,190
France,Historical,EV sales,Cars,BEV,2011,Vehicles,2600
France,Historical,EV sales,Cars,PHEV,2011,Vehicles,96
France,Historical,EV sales,Cars,PHEV,2012,Vehicles,600
France,Historical,EV sales,Cars,BEV,2012,Vehicles,5700
France,Historical,EV sales,Cars,BEV,2013,Vehicles,8800
France,Historical,EV sales,Cars,PHEV,2013,Vehicles,830
France,Historical,EV sales,Cars,PHEV,2014,Vehicles,2100
France,Historical,EV sales,Cars,BEV,2014,Vehicles,11000
France,Historical,EV sales,Cars,BEV,2015,Vehicles,17000
France,Historical,EV sales,Cars,PHEV,2015,Vehicles,5700
France,Historical,EV sales,Cars,BEV,2016,Vehicles,22000
France,Historical,EV sales,Cars,PHEV,2016,Vehicles,7400
France,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000
France,Historical,EV sales,Cars,BEV,2017,Vehicles,25000
France,Historical,EV sales,Cars,BEV,2018,Vehicles,31000
France,Historical,EV sales,Cars,PHEV,2018,Vehicles,15000
France,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000
France,Historical,EV sales,Cars,BEV,2019,Vehicles,43000
France,Historical,EV sales,Cars,BEV,2020,Vehicles,110000
France,Historical,EV sales,Cars,PHEV,2020,Vehicles,75000
France,Historical,EV sales,Cars,PHEV,2021,Vehicles,140000
France,Historical,EV sales,Cars,BEV,2021,Vehicles,160000
France,Historical,EV sales,Cars,BEV,2022,Vehicles,210000
France,Historical,EV sales,Cars,PHEV,2022,Vehicles,130000
Germany,Historical,EV sales,Cars,BEV,2010,Vehicles,140
Germany,Historical,EV sales,Cars,BEV,2011,Vehicles,1400
Germany,Historical,EV sales,Cars,PHEV,2011,Vehicles,240
Germany,Historical,EV sales,Cars,PHEV,2012,Vehicles,1200
Germany,Historical,EV sales,Cars,BEV,2012,Vehicles,2200
Germany,Historical,EV sales,Cars,BEV,2013,Vehicles,5200
Germany,Historical,EV sales,Cars,PHEV,2013,Vehicles,1600
Germany,Historical,EV sales,Cars,PHEV,2014,Vehicles,4400
Germany,Historical,EV sales,Cars,BEV,2014,Vehicles,9100
Germany,Historical,EV sales,Cars,BEV,2015,Vehicles,12000
Germany,Historical,EV sales,Cars,PHEV,2015,Vehicles,11000
Germany,Historical,EV sales,Cars,PHEV,2016,Vehicles,13000
Germany,Historical,EV sales,Cars,BEV,2016,Vehicles,11000
Germany,Historical,EV sales,Cars,BEV,2017,Vehicles,25000
Germany,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000
Germany,Historical,EV sales,Cars,PHEV,2018,Vehicles,31000
Germany,Historical,EV sales,Cars,BEV,2018,Vehicles,36000
Germany,Historical,EV sales,Cars,BEV,2019,Vehicles,63000
Germany,Historical,EV sales,Cars,PHEV,2019,Vehicles,45000
Germany,Historical,EV sales,Cars,PHEV,2020,Vehicles,200000
Germany,Historical,EV sales,Cars,BEV,2020,Vehicles,190000
Germany,Historical,EV sales,Cars,BEV,2021,Vehicles,360000
Germany,Historical,EV sales,Cars,PHEV,2021,Vehicles,330000
Germany,Historical,EV sales,Cars,PHEV,2022,Vehicles,360000
Germany,Historical,EV sales,Cars,BEV,2022,Vehicles,470000
Greece,Historical,EV sales,Cars,BEV,2013,Vehicles,3
Greece,Historical,EV sales,Cars,BEV,2014,Vehicles,39
Greece,Historical,EV sales,Cars,BEV,2015,Vehicles,35
Greece,Historical,EV sales,Cars,PHEV,2015,Vehicles,22
Greece,Historical,EV sales,Cars,PHEV,2016,Vehicles,56
Greece,Historical,EV sales,Cars,BEV,2016,Vehicles,41
Greece,Historical,EV sales,Cars,BEV,2017,Vehicles,50
Greece,Historical,EV sales,Cars,PHEV,2017,Vehicles,140
Greece,Historical,EV sales,Cars,PHEV,2018,Vehicles,210
Greece,Historical,EV sales,Cars,BEV,2018,Vehicles,88
Greece,Historical,EV sales,Cars,BEV,2019,Vehicles,190
Greece,Historical,EV sales,Cars,PHEV,2019,Vehicles,290
Greece,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500
Greece,Historical,EV sales,Cars,BEV,2020,Vehicles,680
Greece,Historical,EV sales,Cars,BEV,2021,Vehicles,2200
Greece,Historical,EV sales,Cars,PHEV,2021,Vehicles,4800
Greece,Historical,EV sales,Cars,PHEV,2022,Vehicles,5500
Greece,Historical,EV sales,Cars,BEV,2022,Vehicles,2800
Iceland,Historical,EV sales,Cars,BEV,2012,Vehicles,17
Iceland,Historical,EV sales,Cars,PHEV,2012,Vehicles,9
Iceland,Historical,EV sales,Cars,PHEV,2013,Vehicles,23
Iceland,Historical,EV sales,Cars,BEV,2013,Vehicles,80
Iceland,Historical,EV sales,Cars,BEV,2014,Vehicles,200
Iceland,Historical,EV sales,Cars,PHEV,2014,Vehicles,29
Iceland,Historical,EV sales,Cars,PHEV,2015,Vehicles,170
Iceland,Historical,EV sales,Cars,BEV,2015,Vehicles,390
Iceland,Historical,EV sales,Cars,BEV,2016,Vehicles,380
Iceland,Historical,EV sales,Cars,PHEV,2016,Vehicles,780
Iceland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2200
Iceland,Historical,EV sales,Cars,BEV,2017,Vehicles,850
Iceland,Historical,EV sales,Cars,BEV,2018,Vehicles,780
Iceland,Historical,EV sales,Cars,PHEV,2018,Vehicles,2900
Iceland,Historical,EV sales,Cars,PHEV,2019,Vehicles,1700
Iceland,Historical,EV sales,Cars,BEV,2019,Vehicles,910
Iceland,Historical,EV sales,Cars,BEV,2020,Vehicles,2600
Iceland,Historical,EV sales,Cars,PHEV,2020,Vehicles,2400
Iceland,Historical,EV sales,Cars,PHEV,2021,Vehicles,4900
Iceland,Historical,EV sales,Cars,BEV,2021,Vehicles,4300
Iceland,Historical,EV sales,Cars,BEV,2022,Vehicles,6900
Iceland,Historical,EV sales,Cars,PHEV,2022,Vehicles,5000
India,Historical,EV sales,Cars,BEV,2010,Vehicles,450
India,Historical,EV sales,Cars,BEV,2011,Vehicles,1400
India,Historical,EV sales,Cars,BEV,2012,Vehicles,190
India,Historical,EV sales,Cars,BEV,2013,Vehicles,410
India,Historical,EV sales,Cars,BEV,2014,Vehicles,1000
India,Historical,EV sales,Cars,BEV,2015,Vehicles,450
India,Historical,EV sales,Cars,BEV,2016,Vehicles,730
India,Historical,EV sales,Cars,BEV,2017,Vehicles,920
India,Historical,EV sales,Cars,BEV,2018,Vehicles,920
India,Historical,EV sales,Cars,BEV,2019,Vehicles,680
India,Historical,EV sales,Cars,PHEV,2019,Vehicles,7
India,Historical,EV sales,Cars,PHEV,2020,Vehicles,43
India,Historical,EV sales,Cars,BEV,2020,Vehicles,3100
India,Historical,EV sales,Cars,BEV,2021,Vehicles,12000
India,Historical,EV sales,Cars,PHEV,2021,Vehicles,50
India,Historical,EV sales,Cars,PHEV,2022,Vehicles,23
India,Historical,EV sales,Cars,BEV,2022,Vehicles,48000
Israel,Historical,EV sales,Cars,BEV,2011,Vehicles,3
Israel,Historical,EV sales,Cars,BEV,2012,Vehicles,600
Israel,Historical,EV sales,Cars,PHEV,2012,Vehicles,1
Israel,Historical,EV sales,Cars,PHEV,2013,Vehicles,17
Israel,Historical,EV sales,Cars,BEV,2013,Vehicles,460
Israel,Historical,EV sales,Cars,BEV,2014,Vehicles,6
Israel,Historical,EV sales,Cars,PHEV,2014,Vehicles,52
Israel,Historical,EV sales,Cars,PHEV,2015,Vehicles,65
Israel,Historical,EV sales,Cars,BEV,2015,Vehicles,3
Israel,Historical,EV sales,Cars,BEV,2016,Vehicles,5
Israel,Historical,EV sales,Cars,PHEV,2016,Vehicles,63
Israel,Historical,EV sales,Cars,PHEV,2017,Vehicles,1500
Israel,Historical,EV sales,Cars,BEV,2017,Vehicles,130
Israel,Historical,EV sales,Cars,BEV,2018,Vehicles,130
Israel,Historical,EV sales,Cars,PHEV,2018,Vehicles,3600
Israel,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900
Israel,Historical,EV sales,Cars,BEV,2019,Vehicles,850
Israel,Historical,EV sales,Cars,BEV,2020,Vehicles,1500
Israel,Historical,EV sales,Cars,PHEV,2020,Vehicles,5400
Israel,Historical,EV sales,Cars,PHEV,2021,Vehicles,13000
Israel,Historical,EV sales,Cars,BEV,2021,Vehicles,11000
Israel,Historical,EV sales,Cars,BEV,2022,Vehicles,27000
Israel,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000
Italy,Historical,EV sales,Cars,BEV,2010,Vehicles,40
Italy,Historical,EV sales,Cars,BEV,2011,Vehicles,110
Italy,Historical,EV sales,Cars,BEV,2012,Vehicles,460
Italy,Historical,EV sales,Cars,BEV,2013,Vehicles,860
Italy,Historical,EV sales,Cars,PHEV,2013,Vehicles,180
Italy,Historical,EV sales,Cars,PHEV,2014,Vehicles,340
Italy,Historical,EV sales,Cars,BEV,2014,Vehicles,1000
Italy,Historical,EV sales,Cars,BEV,2015,Vehicles,1500
Italy,Historical,EV sales,Cars,PHEV,2015,Vehicles,740
Italy,Historical,EV sales,Cars,PHEV,2016,Vehicles,1300
Italy,Historical,EV sales,Cars,BEV,2016,Vehicles,1400
Italy,Historical,EV sales,Cars,BEV,2017,Vehicles,2000
Italy,Historical,EV sales,Cars,PHEV,2017,Vehicles,2900
Italy,Historical,EV sales,Cars,PHEV,2018,Vehicles,4700
Italy,Historical,EV sales,Cars,BEV,2018,Vehicles,5000
Italy,Historical,EV sales,Cars,BEV,2019,Vehicles,11000
Italy,Historical,EV sales,Cars,PHEV,2019,Vehicles,6500
Italy,Historical,EV sales,Cars,PHEV,2020,Vehicles,27000
Italy,Historical,EV sales,Cars,BEV,2020,Vehicles,33000
Italy,Historical,EV sales,Cars,BEV,2021,Vehicles,67000
Italy,Historical,EV sales,Cars,PHEV,2021,Vehicles,71000
Italy,Historical,EV sales,Cars,PHEV,2022,Vehicles,65000
Italy,Historical,EV sales,Cars,BEV,2022,Vehicles,49000
Japan,Historical,EV sales,Cars,BEV,2010,Vehicles,2400
Japan,Historical,EV sales,Cars,BEV,2011,Vehicles,13000
Japan,Historical,EV sales,Cars,PHEV,2011,Vehicles,15
Japan,Historical,EV sales,Cars,PHEV,2012,Vehicles,11000
Japan,Historical,EV sales,Cars,BEV,2012,Vehicles,13000
Japan,Historical,EV sales,Cars,BEV,2013,Vehicles,15000
Japan,Historical,EV sales,Cars,PHEV,2013,Vehicles,14000
Japan,Historical,EV sales,Cars,PHEV,2014,Vehicles,16000
Japan,Historical,EV sales,Cars,BEV,2014,Vehicles,16000
Japan,Historical,EV sales,Cars,BEV,2015,Vehicles,10000
Japan,Historical,EV sales,Cars,PHEV,2015,Vehicles,14000
